отец;абоджи 아버지;
мать;омони 어머니;
родители;пумо 부모;
муж;нампхён 남편;
жена;анэ 아내;
старший брат (для мужчин);хён 형;
старший брат (для женщин);оппа 오빠;
младший брат;намдонсэн 남동생;
старшая сестра (для мужчин);нуна 누나;
старшая сестра (для женщин);онни 언니;
младшая сестра;ёдонъсэн 여동생;
братья;хёндже 형제;
сестры;чамэ 자매;
сын;адыль 아들;
дочь;тталь 딸;
дедушка;харабоджи 할아버지;
дедушка (более уважительная форма); харабоним 할아버 님;
бабушка;хальмони 할머니;
родственники;чхинчхок 친척;
семья;каджок 가족;
друг;чхингу 친구;
господин;сонсэнним 선생님;
старший;сонбэ 선배;
гость;сонним 손님;
человек;сарам 사람 (мён 명 или пун (более уважительное) 분);
профессор;кёсуним 교수님;